source,name,price,original_price,price_value,currency,discount,availability,in_stock,product_code,shop,url,scraped_at
anvelopemoto.eu,https://www.anvelopemoto.eu,,,,RON (lei),,Unknown,True,,anvelopemoto.eu,https://www.anvelopemoto.eu/,2026-02-19T14:51:10.805398
anvelopemoto.eu,Michelin S83 3.00 - 10 42J TL/TT Front/Rear DOT2517,"67,01 lei","247,32 lei",67.01,RON (lei),,In stock (Bucharest),True,,anvelopemoto.eu,https://www.anvelopemoto.eu/michelin-s83-3-00-10-42j-tl-tt-front-rear-dot2517/,2026-02-19T14:51:10.805398
anvelopemoto.eu,Michelin City Pro 90/80-14 49P Front/Rear Reinf. DOT2017,"128,87 lei","287,06 lei",128.87,RON (lei),,In stock (Bucharest),True,,anvelopemoto.eu,https://www.anvelopemoto.eu/michelin-city-pro-90-80-14-49p-front-rear-reinf-dot2017/,2026-02-19T14:51:10.805398
anvelopemoto.eu,Bridgestone Battlax SCOOTER 90/80 - 14 49P TL Front,"140,00 lei","271,44 lei",140.0,RON (lei),,In stock (Bucharest),True,,anvelopemoto.eu,https://www.anvelopemoto.eu/bridgestone-battlax-scooter-90-80-14-49p-tl-front/,2026-02-19T14:51:10.806401
anvelopemoto.eu,Michelin S83 3.00 - 10 42J TL/TT Front/Rear,"149,28 lei","247,32 lei",149.28,RON (lei),,In stock (Bucharest),True,,anvelopemoto.eu,https://www.anvelopemoto.eu/michelin-s83-3-00-10-42j-tl-tt-front-rear/,2026-02-19T14:51:10.806401
anvelopemoto.eu,Bridgestone Hoop B01 100/80 - 10 53J TL Front/Rear,"165,77 lei","328,35 lei",165.77,RON (lei),,In stock (Bucharest),True,,anvelopemoto.eu,https://www.anvelopemoto.eu/bridgestone-hoop-b01-100-80-10-53j-tl-front-rear/,2026-02-19T14:51:10.806401
anvelopemoto.eu,Mitas TOURING FORCE-SC 2 110/70D11 45P TL/TT F/R,"176,96 lei","211,44 lei",176.96,RON (lei),,In stock (Bucharest),True,,anvelopemoto.eu,https://www.anvelopemoto.eu/mitas-touring-force-sc-2-110-70d11-45p-tl-tt-f-r/,2026-02-19T14:51:10.806401
anvelopemoto.eu,Michelin Starcross 5 MINI 2.50 - 10 33J TT Front/Rear,"177,27 lei","302,99 lei",177.27,RON (lei),,In stock (Bucharest),True,,anvelopemoto.eu,https://www.anvelopemoto.eu/michelin-starcross-5-mini-2-50-10-33j-tt-front-rear/,2026-02-19T14:51:10.806401
anvelopemoto.eu,Michelin City Extra 100/90 - 10 61P REINF TL Front/Rear,"177,27 lei","302,99 lei",177.27,RON (lei),,In stock (Bucharest),True,,anvelopemoto.eu,https://www.anvelopemoto.eu/michelin-city-extra-100-90-10-61p-reinf-tl-front-rear/,2026-02-19T14:51:10.806401
anvelopemoto.eu,Bridgestone Hoop B01 3.50/ - 10 59J TL Front/Rear,"180,10 lei","360,00 lei",180.1,RON (lei),,In stock (Bucharest),True,,anvelopemoto.eu,https://www.anvelopemoto.eu/bridgestone-hoop-b01-3-50-10-59j-tl-front-rear/,2026-02-19T14:51:10.806401
anvelopemoto.eu,Michelin City Grip 2 100/80 - 10 53L TL Front/Rear,"180,36 lei","309,18 lei",180.36,RON (lei),,In stock (Bucharest),True,,anvelopemoto.eu,https://www.anvelopemoto.eu/michelin-city-grip-2-100-80-10-53l-tl-front-rear/,2026-02-19T14:51:10.807433
anvelopemoto.eu,Mitas TOURING FORCE 120/70D10 54L TL F/R,"182,01 lei","226,96 lei",182.01,RON (lei),,In stock (Bucharest),True,,anvelopemoto.eu,https://www.anvelopemoto.eu/mitas-touring-force-120-70d10-54l-tl-f-r/,2026-02-19T14:51:10.807433
anvelopemoto.eu,Metzeler Sportec Street 2 80/80 - 14 M/C 43S TL Reinf Front/Rear,"182,06 lei","395,67 lei",182.06,RON (lei),,In stock (Bucharest),True,,anvelopemoto.eu,https://www.anvelopemoto.eu/metzeler-sportec-street-2-80-80-14-m-c-43s-tl-reinf-front-rear/,2026-02-19T14:51:10.807433
anvelopemoto.eu,Mitas MC-20 MONSUM M+S 120/70D10 54L TL F/R M+S,"188,14 lei","227,01 lei",188.14,RON (lei),,In stock (Bucharest),True,,anvelopemoto.eu,https://www.anvelopemoto.eu/mitas-mc-20-monsum-ms-120-70d10-54l-tl-f-r-ms/,2026-02-19T14:51:10.807433
anvelopemoto.eu,Michelin S1 110/80 - 10 58J TL/TT Front/Rear,"189,69 lei","327,73 lei",189.69,RON (lei),,In stock (Bucharest),True,,anvelopemoto.eu,https://www.anvelopemoto.eu/michelin-s1-110-80-10-58j-tl-tt-front-rear/,2026-02-19T14:51:10.807433
anvelopemoto.eu,Bridgestone Battlax SCOOTER 110/80 - 14 53P TL Rear,"195,88 lei","353,66 lei",195.88,RON (lei),,In stock (Bucharest),True,,anvelopemoto.eu,https://www.anvelopemoto.eu/bridgestone-battlax-scooter-110-80-14-53p-tl-rear/,2026-02-19T14:51:15.845918
anvelopemoto.eu,Dunlop Scootsmart 140/70 - 12 65P TL Rear DOT0920,"195,88 lei","555,82 lei",195.88,RON (lei),,In stock (Bucharest),True,,anvelopemoto.eu,https://www.anvelopemoto.eu/dunlop-scootsmart-140-70-12-65p-tl-rear-dot0920/,2026-02-19T14:51:15.845918
anvelopemoto.eu,Michelin City Grip 2 120/70 - 10 54L REINF TL Rear,"195,93 lei","340,10 lei",195.93,RON (lei),,In stock (Bucharest),True,,anvelopemoto.eu,https://www.anvelopemoto.eu/michelin-city-grip-2-120-70-10-54l-reinf-tl-rear/,2026-02-19T14:51:15.845918
anvelopemoto.eu,Michelin Bopper 120/90 - 10 57L TL/TT Front/Rear,"199,02 lei","346,29 lei",199.02,RON (lei),,In stock (Bucharest),True,,anvelopemoto.eu,https://www.anvelopemoto.eu/michelin-bopper-120-90-10-57l-tl-tt-front-rear/,2026-02-19T14:51:15.846910
anvelopemoto.eu,Michelin City Extra 2.25 - 17 38P REINF TT Front/Rear,"199,02 lei","346,29 lei",199.02,RON (lei),,In stock (Bucharest),True,,anvelopemoto.eu,https://www.anvelopemoto.eu/michelin-city-extra-2-25-17-38p-reinf-tt-front-rear/,2026-02-19T14:51:15.846910
anvelopemoto.eu,Metzeler Sportec Street 70/90 - 14 M/C 34S TL Front,"200,98 lei","317,63 lei",200.98,RON (lei),,In stock (Bucharest),True,,anvelopemoto.eu,https://www.anvelopemoto.eu/metzeler-sportec-street-70-90-14-m-c-34s-tl-front/,2026-02-19T14:51:15.847918
anvelopemoto.eu,Michelin Pilot Street 2.50 - 17 43P REINF TT Front/Rear,"202,11 lei","352,47 lei",202.11,RON (lei),,In stock (Bucharest),True,,anvelopemoto.eu,https://www.anvelopemoto.eu/michelin-pilot-street-2-50-17-43p-reinf-tt-front-rear/,2026-02-19T14:51:15.847918
anvelopemoto.eu,Michelin City Grip 2 110/70 - 12 47S TL Front/Rear,"202,11 lei","352,47 lei",202.11,RON (lei),,In stock (Bucharest),True,,anvelopemoto.eu,https://www.anvelopemoto.eu/michelin-city-grip-2-110-70-12-47s-tl-front-rear/,2026-02-19T14:51:15.847918
anvelopemoto.eu,Pirelli Angel Scooter 80/80 - 14 M/C 43S TL Reinf Front,"202,16 lei","457,01 lei",202.16,RON (lei),,In stock (Bucharest),True,,anvelopemoto.eu,https://www.anvelopemoto.eu/pirelli-angel-scooter-80-80-14-m-c-43s-tl-reinf-front/,2026-02-19T14:51:15.848907
